Autism: Akkermansia, Peptostreptococcaceae, Alistipes, Clostridium, Rothia, Bacteroides vulgatus, Bilophila, Escherichia coli, Ruminococcus gnavus, Lachnospira, Dorea, Porphyromonas, Klebsiella, Lachnospiraceae, Eubacterium, Eubacterium rectale, Bacteroides fragilis, Actinomyces, Faecalibacterium prausnitzii, Ruminococcaceae
Hyperthyroidism: Faecalibacterium, Parabacteroides, Bacteroides, Bifidobacterium, Roseburia, Ruminococcus, Enterobacteriaceae, Enterococcus, Clostridium, Blautia, Ruminococcaceae, Streptococcus, Prevotella, Alistipes, Lactobacillus, Dorea, Faecalibacterium prausnitzii, Anaerostipes, Klebsiella, Coprococcus
Idiopathic REM Sleep Behavior Disorder: Streptococcus pneumoniae, Haemophilus influenzae, Selenomonas, Prevotella nanceiensis, Streptococcus sanguinis, Staphylococcus aureus, Moraxella, Psychrobacter, Gardnerella vaginalis, Porphyromonas endodontalis, Treponema socranskii, Tanerella forsythia, Lactobacillus crispatus, Streptococcus parasanguinis, Streptococcus oralis, Fusobacterium nucleatum, Peptostreptococcus, Streptococcus anginosus, Capnocytophaga ochracea, Rothia aeria
T2D with hypertension: Streptococcus pneumoniae, Selenomonas, Moraxella, Haemophilus influenzae, Prevotella nanceiensis, Firmicutes, Peptostreptococcus, Streptococcus sanguinis, Lactobacillus crispatus, Propionibacterium, Capnocytophaga, Staphylococcus aureus, Streptococcus parasanguinis, Streptococcus anginosus, Fusobacterium nucleatum, Psychrobacter, Gardnerella vaginalis, Comamonas, Porphyromonas endodontalis, Streptococcus oralis
T2D with hyperlipidemia: Moraxella, Firmicutes, Streptococcus pneumoniae, Selenomonas, Propionibacterium, Prevotella nanceiensis, Haemophilus influenzae, Capnocytophaga, Peptostreptococcus, Campylobacter, Aggregatibacter, Streptococcus parasanguinis, Fusobacterium nucleatum, Lactobacillus crispatus, Parvimonas, Streptococcus anginosus, Porphyromonas endodontalis, Peptoniphilus, Porphyromonas gingivalis, Staphylococcus epidermidis
T2D with hypertension and hyperlipidemia: Moraxella, Streptococcus pneumoniae, Selenomonas, Firmicutes, Haemophilus influenzae, Prevotella nanceiensis, Propionibacterium, Peptostreptococcus, Capnocytophaga, Streptococcus parasanguinis, Lactobacillus crispatus, Fusobacterium nucleatum, Streptococcus anginosus, Streptococcus sanguinis, Porphyromonas endodontalis, Campylobacter, Staphylococcus aureus, Aggregatibacter, Comamonas, Porphyromonas gingivalis
Bullous pemphigoid: Megamonas, Collinsella, Corynebacterium, Rothia, Akkermansia, Alistipes, Porphyromonas, Phascolarctobacterium, Dorea, Clostridium, Neisseria, Klebsiella, Fusobacterium, Roseburia, Blautia, Anaerostipes, Enterobacteriaceae, Subdoligranulum, Ruminococcus gnavus, Proteobacteria
Otitis Media: Ruminococcus gnavus, Rothia, Neisseria, Collinsella, Megamonas, Lachnospira, Porphyromonas, Oscillibacter, Proteobacteria, Akkermansia, Corynebacterium, Staphylococcus, Haemophilus, Gemella, Fusobacterium, Eubacterium, Dorea, Actinobacteria, Atopobium, Phascolarctobacterium
Hirschsprung-associated enterocolitis: Streptococcus pneumoniae, Moraxella, Selenomonas, Haemophilus influenzae, Firmicutes, Prevotella nanceiensis, Propionibacterium, Peptostreptococcus, Streptococcus parasanguinis, Capnocytophaga, Fusobacterium nucleatum, Streptococcus sanguinis, Lactobacillus crispatus, Porphyromonas endodontalis, Staphylococcus aureus, Gardnerella vaginalis, Streptococcus anginosus, Comamonas, Porphyromonas gingivalis, Psychrobacter
Hutchinson-Gilford progeria syndrome: Megamonas, Collinsella, Rothia, Ruminococcus gnavus, Akkermansia, Neisseria, Porphyromonas, Corynebacterium, Phascolarctobacterium, Alistipes, Dorea, Klebsiella, Oscillibacter, Lachnospira, Proteobacteria, Clostridium, Anaerostipes, Subdoligranulum, Shigella, Fusobacterium
Henoch-Sch?nlein Purpura: Moraxella, Firmicutes, Campylobacter, Aggregatibacter, Selenomonas, Propionibacterium, Atopobium, Capnocytophaga, Actinobacteria, Peptostreptococcus, Treponema, Coprobacillus, Peptoniphilus, Proteobacteria, Propionibacterium acnes, Megamonas, Gemella, Clostridiales, Streptococcus anginosus, Lactobacillus crispatus
Prediabetes: Megamonas, Collinsella, Corynebacterium, Neisseria, Rothia, Phascolarctobacterium, Porphyromonas, Akkermansia, Proteobacteria, Ruminococcus gnavus, Alistipes, Dorea, Fusobacterium, Klebsiella, Oscillibacter, Clostridium, Lachnospira, Anaerostipes, Subdoligranulum, Blautia
Chlamydia: Ruminococcus gnavus, Rothia, Alloprevotella, Lachnospira, Bilophila, Neisseria, Oscillibacter, Collinsella, Escherichia coli, Anaerotruncus, Granulicatella, Eubacterium, Pseudomonas, Porphyromonas, Staphylococcus, Akkermansia, Peptostreptococcaceae, Gemella, Haemophilus, Actinobacteria
Enthesitis-related arthritis : Faecalibacterium, Parabacteroides, Roseburia, Bacteroides, Bifidobacterium, Ruminococcus, Enterobacteriaceae, Clostridium, Enterococcus, Blautia, Ruminococcaceae, Alistipes, Streptococcus, Prevotella, Dorea, Anaerostipes, Faecalibacterium prausnitzii, Klebsiella, Lactobacillus, Akkermansia
Chronic alcoholic pancreatitis: Moraxella, Campylobacter, Firmicutes, Aggregatibacter, Atopobium, Actinobacteria, Propionibacterium, Proteobacteria, Megamonas, Gemella, Treponema, Coprobacillus, Capnocytophaga, Alloprevotella, Peptostreptococcus, Ruminococcus gnavus, Clostridiales, Propionibacterium acnes, Peptoniphilus, Neisseria
Alcoholic hepatitis: Rothia, Akkermansia, Ruminococcus gnavus, Collinsella, Porphyromonas, Lachnospira, Alistipes, Neisseria, Clostridium, Dorea, Klebsiella, Oscillibacter, Eubacterium, Bilophila, Corynebacterium, Haemophilus, Shigella, Fusobacterium, Phascolarctobacterium, Subdoligranulum
Autism spectrum disorders: Rothia, Akkermansia, Clostridium, Alistipes, Ruminococcus gnavus, Peptostreptococcaceae, Lachnospira, Porphyromonas, Bacteroides vulgatus, Dorea, Escherichia coli, Bilophila, Klebsiella, Lachnospiraceae, Eubacterium, Haemophilus, Actinomyces, Eubacterium rectale, Ruminococcaceae, Collinsella
Idiopathic nephrotic syndrome: Moraxella, Firmicutes, Selenomonas, Streptococcus pneumoniae, Propionibacterium, Prevotella nanceiensis, Capnocytophaga, Peptostreptococcus, Haemophilus influenzae, Campylobacter, Streptococcus parasanguinis, Lactobacillus crispatus, Aggregatibacter, Fusobacterium nucleatum, Streptococcus anginosus, Peptoniphilus, Comamonas, Propionibacterium acnes, Staphylococcus epidermidis, Treponema
Diverticular disease: Megamonas, Campylobacter, Proteobacteria, Collinsella, Neisseria, Ruminococcus gnavus, Actinobacteria, Atopobium, Aggregatibacter, Oscillibacter, Rothia, Gemella, Corynebacterium, Lachnoclostridium, Phascolarctobacterium, Staphylococcus, Lachnospira, Porphyromonas, Alloprevotella, Firmicutes
Neuromyelitis optica: Campylobacter, Ruminococcus gnavus, Actinobacteria, Atopobium, Aggregatibacter, Alloprevotella, Gemella, Proteobacteria, Neisseria, Megamonas, Collinsella, Oscillibacter, Treponema, Anaerotruncus, Staphylococcus, Pseudomonas, Propionibacterium, Lachnospira, Moraxella, Granulicatella
Azoospermia: Alloprevotella, Peptostreptococcaceae, Bilophila, Burkholderia, Escherichia coli, Propionibacterium acnes, Granulicatella, Streptococcus salivarius, Lachnospira, Bacteriodes uniformis, Rothia, Pseudomonas, Eubacterium, Anaerotruncus, Bulleidia, Eubacterium rectale, Bacillus, Akkermansia, Akkermansia muciniphila, Clostridium symbiosum
Hyperlipidemia: Faecalibacterium, Parabacteroides, Roseburia, Ruminococcus, Bifidobacterium, Enterobacteriaceae, Clostridium, Bacteroides, Enterococcus, Blautia, Alistipes, Ruminococcaceae, Dorea, Anaerostipes, Klebsiella, Akkermansia, Faecalibacterium prausnitzii, Streptococcus, Prevotella, Corynebacterium
Shiga Toxin-producing E. coli infection: Moraxella, Streptococcus pneumoniae, Selenomonas, Firmicutes, Prevotella nanceiensis, Haemophilus influenzae, Propionibacterium, Peptostreptococcus, Capnocytophaga, Streptococcus parasanguinis, Lactobacillus crispatus, Fusobacterium nucleatum, Campylobacter, Streptococcus anginosus, Aggregatibacter, Streptococcus sanguinis, Porphyromonas endodontalis, Comamonas, Staphylococcus epidermidis, Porphyromonas gingivalis
Gastric carcinoma: Selenomonas, Moraxella, Peptostreptococcus, Capnocytophaga, Lactobacillus crispatus, Streptococcus anginosus, Veillonella dispar, Propionibacterium, Firmicutes, Treponema, Peptoniphilus, Propionibacterium acnes, Comamonas, Streptococcus salivarius, Staphylococcus epidermidis, Streptococcus pneumoniae, Fusobacterium nucleatum, Prevotella nanceiensis, Bulleidia, Aggregatibacter
COPD Exacerbation: Moraxella, Firmicutes, Selenomonas, Propionibacterium, Peptostreptococcus, Capnocytophaga, Campylobacter, Aggregatibacter, Streptococcus pneumoniae, Lactobacillus crispatus, Treponema, Atopobium, Streptococcus anginosus, Peptoniphilus, Propionibacterium acnes, Prevotella nanceiensis, Veillonella dispar, Fusobacterium nucleatum, Actinobacteria, Staphylococcus epidermidis
Sickle cell disease: Parabacteroides, Roseburia, Faecalibacterium, Clostridium, Enterobacteriaceae, Ruminococcus, Enterococcus, Blautia, Bifidobacterium, Bacteroides, Alistipes, Ruminococcaceae, Dorea, Anaerostipes, Klebsiella, Akkermansia, Faecalibacterium prausnitzii, Corynebacterium, Megamonas, Porphyromonas
Protracted bacterial bronchitis: Streptococcus pneumoniae, Haemophilus influenzae, Selenomonas, Rothia aeria, Streptococcus sanguinis, Staphylococcus aureus, Tanerella forsythia, Psychrobacter, Prevotella nanceiensis, Enhydrobacter, Gardnerella vaginalis, Lactobacillus crispatus, Streptococcus oralis, Streptococcus anginosus, Treponema socranskii, Fusobacterium nucleatum, Comamonas, Peptostreptococcus, Streptococcus parasanguinis, TM7
Reactive arthritis: Megamonas, Campylobacter, Proteobacteria, Collinsella, Ruminococcus gnavus, Neisseria, Actinobacteria, Atopobium, Aggregatibacter, Oscillibacter, Gemella, Rothia, Lachnoclostridium, Staphylococcus, Corynebacterium, Lachnospira, Alloprevotella, Phascolarctobacterium, Firmicutes, Porphyromonas
Seminal hyperviscosity: Moraxella, Firmicutes, Selenomonas, Streptococcus pneumoniae, Propionibacterium, Capnocytophaga, Peptostreptococcus, Campylobacter, Prevotella nanceiensis, Aggregatibacter, Lactobacillus crispatus, Streptococcus parasanguinis, Streptococcus anginosus, Fusobacterium nucleatum, Treponema, Peptoniphilus, Propionibacterium acnes, Haemophilus influenzae, Atopobium, Staphylococcus epidermidis
Oligoasthenoteratozoospermia: Megamonas, Roseburia, Clostridium, Alistipes, Enterobacteriaceae, Blautia, Parabacteroides, Dorea, Akkermansia, Corynebacterium, Klebsiella, Ruminococcus, Anaerostipes, Phascolarctobacterium, Porphyromonas, Collinsella, Rothia, Enterococcus, Ruminococcaceae, Fusobacterium
Allergic asthma: Moraxella, Firmicutes, Selenomonas, Propionibacterium, Campylobacter, Streptococcus pneumoniae, Aggregatibacter, Capnocytophaga, Peptostreptococcus, Prevotella nanceiensis, Atopobium, Treponema, Actinobacteria, Propionibacterium acnes, Peptoniphilus, Coprobacillus, Lactobacillus crispatus, Streptococcus anginosus, Clostridiales, Streptococcus parasanguinis
Budd-Chiari syndrome: Roseburia, Megamonas, Clostridium, Parabacteroides, Enterobacteriaceae, Alistipes, Blautia, Dorea, Ruminococcus, Akkermansia, Klebsiella, Anaerostipes, Corynebacterium, Enterococcus, Phascolarctobacterium, Ruminococcaceae, Porphyromonas, Faecalibacterium, Collinsella, Rothia
Atopic wheeze: Moraxella, Firmicutes, Selenomonas, Propionibacterium, Campylobacter, Aggregatibacter, Capnocytophaga, Peptostreptococcus, Streptococcus pneumoniae, Atopobium, Treponema, Actinobacteria, Propionibacterium acnes, Peptoniphilus, Prevotella nanceiensis, Coprobacillus, Lactobacillus crispatus, Streptococcus anginosus, Staphylococcus epidermidis, Clostridiales
Prostate cancer: Clostridium, Alistipes, Akkermansia, Rothia, Enterobacteriaceae, Porphyromonas, Dorea, Ruminococcaceae, Klebsiella, Collinsella, Anaerostipes, Corynebacterium, Lachnospiraceae, Lachnospira, Subdoligranulum, Enterococcus, Shigella, Faecalibacterium prausnitzii, Phascolarctobacterium, Megamonas
Multiple system atrophy: Moraxella, Propionibacterium, Campylobacter, Propionibacterium acnes, Treponema, Firmicutes, Aggregatibacter, Capnocytophaga, Actinobacteria, Peptostreptococcus, Alloprevotella, Atopobium, Selenomonas, Peptoniphilus, Streptococcus anginosus, Coprobacillus, Streptococcus salivarius, Gemella, Veillonella dispar, Lactobacillus crispatus
Autoimmune polyendocrine syndrome type 1: Streptococcus pneumoniae, Selenomonas, Haemophilus influenzae, Prevotella nanceiensis, Moraxella, Lactobacillus crispatus, Staphylococcus aureus, Peptostreptococcus, Streptococcus sanguinis, Streptococcus anginosus, Psychrobacter, Capnocytophaga, Fusobacterium nucleatum, Comamonas, Streptococcus oralis, Propionibacterium, Staphylococcus epidermidis, Streptococcus parasanguinis, Veillonella dispar, Gardnerella vaginalis
Attention Deficit Hyperactivity Disorder: Akkermansia, Rothia, Alistipes, Collinsella, Clostridium, Megamonas, Dorea, Porphyromonas, Klebsiella, Corynebacterium, Neisseria, Ruminococcus gnavus, Anaerostipes, Phascolarctobacterium, Fusobacterium, Enterobacteriaceae, Subdoligranulum, Lachnospira, Blautia, Lachnospiraceae
Hepatocellular cancer: Clostridium, Alistipes, Parabacteroides, Dorea, Akkermansia, Roseburia, Klebsiella, Enterococcus, Enterobacteriaceae, Porphyromonas, Rothia, Blautia, Anaerostipes, Corynebacterium, Fusobacterium, Ruminococcaceae, Ruminococcus, Lachnospiraceae, Faecalibacterium, Collinsella
Oral potentially malignant disorder: Haemophilus influenzae, Streptococcus pneumoniae, Rothia aeria, Tanerella forsythia, Staphylococcus aureus, Streptococcus sanguinis, Selenomonas, Psychrobacter, Fretibacterium, Enhydrobacter, Lactobacillus mucosae, Prevotella nanceiensis, Treponema socranskii, Lautropia mirabilis, Rothia dentocariosa, Mucor racemosus, Neisseria subflava, Gardnerella vaginalis, Terrisporobacter, Streptococcus oralis
Viral respiratory tract infection: Streptococcus pneumoniae, Selenomonas, Haemophilus influenzae, Moraxella, Prevotella nanceiensis, Streptococcus sanguinis, Staphylococcus aureus, Lactobacillus crispatus, Peptostreptococcus, Fusobacterium nucleatum, Streptococcus anginosus, Streptococcus parasanguinis, Psychrobacter, Gardnerella vaginalis, Capnocytophaga, Propionibacterium, Comamonas, Firmicutes, Porphyromonas endodontalis, Streptococcus oralis
Hirschsprung's disease: Megamonas, Campylobacter, Proteobacteria, Collinsella, Neisseria, Ruminococcus gnavus, Atopobium, Actinobacteria, Oscillibacter, Aggregatibacter, Rothia, Gemella, Corynebacterium, Staphylococcus, Lachnoclostridium, Phascolarctobacterium, Lachnospira, Porphyromonas, Alloprevotella, Akkermansia
Oral leukoplakia: Ruminococcus gnavus, Megamonas, Collinsella, Neisseria, Campylobacter, Proteobacteria, Actinobacteria, Atopobium, Oscillibacter, Gemella, Rothia, Alloprevotella, Aggregatibacter, Lachnospira, Staphylococcus, Anaerotruncus, Lachnoclostridium, Pseudomonas, Granulicatella, Porphyromonas
Urgency urinary incontinence: Streptococcus pneumoniae, Haemophilus influenzae, Rothia aeria, Tanerella forsythia, Human herpesvirus 6, Rhizophagus, Simonsiella, Mucor racemosus, Mycoplasma faucium, Selenomonas, Actinomyces meyeri, Fretibacterium, Methanoculleus, Treponema pectinovorum, Ottowia, Actinomyces gerencseriae, Alloprevotella tannerae, Wallemia mellicola, Moraxella catarrhalis, Ustilaginaceae
Pelvic inflammatory disease: Moraxella, Campylobacter, Firmicutes, Propionibacterium, Aggregatibacter, Atopobium, Actinobacteria, Treponema, Propionibacterium acnes, Capnocytophaga, Coprobacillus, Proteobacteria, Alloprevotella, Gemella, Megamonas, Selenomonas, Peptostreptococcus, Clostridiales, Peptoniphilus, Ruminococcus gnavus
Neuropathic bladder: Megamonas, Collinsella, Rothia, Ruminococcus gnavus, Neisseria, Akkermansia, Lachnospira, Porphyromonas, Oscillibacter, Corynebacterium, Alistipes, Proteobacteria, Phascolarctobacterium, Bilophila, Dorea, Shigella, Klebsiella, Staphylococcus, Eubacterium, Clostridium
Uveitits: Wallemia mellicola, Ustilaginaceae, Pseudozyma churashimaensis, Thermomyces lanuginosus, Eremothecium sinecaudum, Aspergillus penicillioides, Aspergillus austroafricanus, Penicillium dierckxii, Penicillium steckii, Arhtrobacter cumminsii, Candidatus Methanomethylophilus alvus, Ophiocordyceps, Rhizophagus, Boletus, Human herpesvirus 6, Paracoccus aminovorans, Methylobacterium adhaesivum, Eurotiomycetes, Bipolaris, Prevotella baroniae
Granulomatosis with polyangiitis: Ruminococcus gnavus, Megamonas, Collinsella, Neisseria, Proteobacteria, Campylobacter, Actinobacteria, Oscillibacter, Alloprevotella, Rothia, Atopobium, Gemella, Lachnospira, Aggregatibacter, Anaerotruncus, Staphylococcus, Lachnoclostridium, Bilophila, Pseudomonas, Granulicatella
Overactive bladder: Ruminococcus gnavus, Campylobacter, Actinobacteria, Atopobium, Megamonas, Proteobacteria, Alloprevotella, Neisseria, Collinsella, Gemella, Aggregatibacter, Oscillibacter, Rothia, Staphylococcus, Lachnospira, Anaerotruncus, Treponema, Pseudomonas, Granulicatella, Lachnoclostridium
Cytolytic vaginosis: Streptococcus pneumoniae, Selenomonas, Haemophilus influenzae, Moraxella, Prevotella nanceiensis, Streptococcus sanguinis, Peptostreptococcus, Propionibacterium, Streptococcus parasanguinis, Lactobacillus crispatus, Firmicutes, Gardnerella vaginalis, Capnocytophaga, Fusobacterium nucleatum, Staphylococcus aureus, Streptococcus anginosus, Psychrobacter, Comamonas, Streptococcus oralis, Staphylococcus epidermidis
Maturity-onset diabetes of the young 2: Moraxella, Firmicutes, Campylobacter, Propionibacterium, Selenomonas, Aggregatibacter, Capnocytophaga, Peptostreptococcus, Atopobium, Actinobacteria, Treponema, Propionibacterium acnes, Coprobacillus, Peptoniphilus, Clostridiales, Streptococcus pneumoniae, Streptococcus anginosus, Lactobacillus crispatus, Staphylococcus epidermidis, Prevotella nanceiensis
Stomach cancer: Parabacteroides, Roseburia, Faecalibacterium, Clostridium, Enterobacteriaceae, Ruminococcus, Blautia, Enterococcus, Alistipes, Bifidobacterium, Dorea, Ruminococcaceae, Bacteroides, Anaerostipes, Klebsiella, Akkermansia, Megamonas, Corynebacterium, Faecalibacterium prausnitzii, Porphyromonas
Small intestine neoplasm: Moraxella, Firmicutes, Selenomonas, Streptococcus pneumoniae, Propionibacterium, Prevotella nanceiensis, Capnocytophaga, Peptostreptococcus, Campylobacter, Aggregatibacter, Lactobacillus crispatus, Streptococcus parasanguinis, Streptococcus anginosus, Propionibacterium acnes, Fusobacterium nucleatum, Peptoniphilus, Comamonas, Staphylococcus epidermidis, Haemophilus influenzae, Treponema
Arsenic exposure: Moraxella, Firmicutes, Campylobacter, Aggregatibacter, Propionibacterium, Atopobium, Actinobacteria, Selenomonas, Capnocytophaga, Treponema, Megamonas, Coprobacillus, Proteobacteria, Peptostreptococcus, Gemella, Propionibacterium acnes, Clostridiales, Peptoniphilus, Alloprevotella, Streptococcus anginosus
Myasthenia gravis: Clostridium, Alistipes, Akkermansia, Rothia, Dorea, Megamonas, Collinsella, Porphyromonas, Klebsiella, Corynebacterium, Fusobacterium, Anaerostipes, Enterobacteriaceae, Phascolarctobacterium, Neisseria, Roseburia, Blautia, Parabacteroides, Subdoligranulum, Ruminococcus gnavus
Osteoarthritis: Parabacteroides, Clostridium, Roseburia, Faecalibacterium, Enterobacteriaceae, Enterococcus, Ruminococcus, Alistipes, Blautia, Dorea, Bifidobacterium, Ruminococcaceae, Klebsiella, Akkermansia, Bacteroides, Anaerostipes, Faecalibacterium prausnitzii, Porphyromonas, Corynebacterium, Fusobacterium
Lung cancer: Clostridium, Akkermansia, Alistipes, Rothia, Dorea, Klebsiella, Porphyromonas, Enterobacteriaceae, Enterococcus, Anaerostipes, Ruminococcaceae, Lachnospiraceae, Parabacteroides, Faecalibacterium prausnitzii, Subdoligranulum, Collinsella, Lachnospira, Ruminococcus gnavus, Corynebacterium, Peptostreptococcaceae
Clonorchis sinensis infection: Moraxella, Propionibacterium, Selenomonas, Firmicutes, Capnocytophaga, Peptostreptococcus, Propionibacterium acnes, Treponema, Streptococcus anginosus, Campylobacter, Peptoniphilus, Lactobacillus crispatus, Aggregatibacter, Staphylococcus epidermidis, Comamonas, Streptococcus salivarius, Veillonella dispar, Atopobium, Actinobacteria, Coprobacillus
Severe fever with thrombocytopenia syndrome: Campylobacter, Moraxella, Firmicutes, Aggregatibacter, Atopobium, Actinobacteria, Megamonas, Propionibacterium, Proteobacteria, Gemella, Alloprevotella, Treponema, Coprobacillus, Ruminococcus gnavus, Clostridiales, Propionibacterium acnes, Oscillibacter, Neisseria, Capnocytophaga, Lachnoclostridium
Breast cancer: Rothia, Peptostreptococcaceae, Bilophila, Akkermansia, Lachnospira, Escherichia coli, Alistipes, Porphyromonas, Clostridium, Ruminococcus gnavus, Eubacterium, Alloprevotella, Eubacterium rectale, Lachnospiraceae, Dorea, Oscillibacter, Klebsiella, Bacteroides vulgatus, Anaerotruncus, Granulicatella
Bronchiectasis: Megamonas, Collinsella, Ruminococcus gnavus, Neisseria, Rothia, Proteobacteria, Oscillibacter, Lachnospira, Porphyromonas, Akkermansia, Actinobacteria, Campylobacter, Corynebacterium, Phascolarctobacterium, Gemella, Staphylococcus, Alloprevotella, Atopobium, Bilophila, Lachnoclostridium
Graves' disease: Parabacteroides, Roseburia, Clostridium, Enterobacteriaceae, Faecalibacterium, Alistipes, Ruminococcus, Blautia, Enterococcus, Dorea, Akkermansia, Klebsiella, Ruminococcaceae, Anaerostipes, Megamonas, Bifidobacterium, Corynebacterium, Porphyromonas, Bacteroides, Fusobacterium
Wilson's Disease: Parabacteroides, Roseburia, Clostridium, Faecalibacterium, Enterobacteriaceae, Ruminococcus, Blautia, Alistipes, Enterococcus, Dorea, Ruminococcaceae, Bifidobacterium, Anaerostipes, Klebsiella, Akkermansia, Megamonas, Bacteroides, Corynebacterium, Porphyromonas, Phascolarctobacterium
Sensitive scalp: Moraxella, Selenomonas, Firmicutes, Streptococcus pneumoniae, Propionibacterium, Prevotella nanceiensis, Peptostreptococcus, Capnocytophaga, Lactobacillus crispatus, Haemophilus influenzae, Streptococcus parasanguinis, Streptococcus anginosus, Campylobacter, Fusobacterium nucleatum, Propionibacterium acnes, Aggregatibacter, Comamonas, Staphylococcus epidermidis, Peptoniphilus, Treponema
Microscopic colitis: Moraxella, Propionibacterium, Firmicutes, Campylobacter, Aggregatibacter, Treponema, Capnocytophaga, Propionibacterium acnes, Atopobium, Selenomonas, Peptostreptococcus, Actinobacteria, Alloprevotella, Peptoniphilus, Coprobacillus, Streptococcus anginosus, Gemella, Streptococcus salivarius, Lactobacillus crispatus, Veillonella dispar
Bronchiolitis: Faecalibacterium, Parabacteroides, Roseburia, Enterobacteriaceae, Ruminococcus, Clostridium, Bifidobacterium, Bacteroides, Enterococcus, Blautia, Alistipes, Ruminococcaceae, Dorea, Anaerostipes, Klebsiella, Akkermansia, Faecalibacterium prausnitzii, Megamonas, Corynebacterium, Porphyromonas
Intestinal metaplasia: Streptococcus pneumoniae, Selenomonas, Haemophilus influenzae, Prevotella nanceiensis, Moraxella, Streptococcus sanguinis, Staphylococcus aureus, Lactobacillus crispatus, Peptostreptococcus, Psychrobacter, Streptococcus anginosus, Fusobacterium nucleatum, Capnocytophaga, Comamonas, Gardnerella vaginalis, Streptococcus parasanguinis, Streptococcus oralis, Propionibacterium, Staphylococcus epidermidis, Propionibacterium acnes
Keratitis: Rothia, Akkermansia, Clostridium, Alistipes, Porphyromonas, Collinsella, Dorea, Ruminococcus gnavus, Klebsiella, Lachnospira, Neisseria, Corynebacterium, Anaerostipes, Lachnospiraceae, Subdoligranulum, Eubacterium, Enterobacteriaceae, Phascolarctobacterium, Fusobacterium, Bilophila
Late-onset Sepsis: Moraxella, Selenomonas, Propionibacterium, Firmicutes, Peptostreptococcus, Capnocytophaga, Streptococcus pneumoniae, Lactobacillus crispatus, Propionibacterium acnes, Streptococcus anginosus, Comamonas, Staphylococcus epidermidis, Prevotella nanceiensis, Treponema, Peptoniphilus, Streptococcus salivarius, Campylobacter, Fusobacterium nucleatum, Veillonella dispar, Aggregatibacter
Hand, foot and mouth disease: Moraxella, Firmicutes, Campylobacter, Aggregatibacter, Propionibacterium, Selenomonas, Atopobium, Actinobacteria, Capnocytophaga, Peptostreptococcus, Treponema, Coprobacillus, Propionibacterium acnes, Proteobacteria, Clostridiales, Megamonas, Peptoniphilus, Gemella, Alloprevotella, Streptococcus anginosus
Infant colic: Moraxella, Firmicutes, Selenomonas, Propionibacterium, Streptococcus pneumoniae, Capnocytophaga, Peptostreptococcus, Campylobacter, Aggregatibacter, Prevotella nanceiensis, Lactobacillus crispatus, Propionibacterium acnes, Treponema, Streptococcus anginosus, Peptoniphilus, Staphylococcus epidermidis, Comamonas, Fusobacterium nucleatum, Streptococcus parasanguinis, Atopobium
Tetratricopeptide repeat domain 7A deficiency: Moraxella, Firmicutes, Selenomonas, Propionibacterium, Campylobacter, Capnocytophaga, Peptostreptococcus, Aggregatibacter, Streptococcus pneumoniae, Treponema, Atopobium, Lactobacillus crispatus, Propionibacterium acnes, Peptoniphilus, Prevotella nanceiensis, Streptococcus anginosus, Actinobacteria, Staphylococcus epidermidis, Coprobacillus, Comamonas
X-linked inhibitor of apoptosis deficiency: Selenomonas, Streptococcus pneumoniae, Moraxella, Prevotella nanceiensis, Peptostreptococcus, Propionibacterium, Haemophilus influenzae, Capnocytophaga, Lactobacillus crispatus, Firmicutes, Streptococcus anginosus, Comamonas, Fusobacterium nucleatum, Streptococcus sanguinis, Streptococcus parasanguinis, Staphylococcus epidermidis, Staphylococcus aureus, Propionibacterium acnes, Psychrobacter, Streptococcus oralis
Chronic granulomatous disease: Megamonas, Campylobacter, Proteobacteria, Aggregatibacter, Actinobacteria, Atopobium, Firmicutes, Collinsella, Moraxella, Ruminococcus gnavus, Gemella, Neisseria, Oscillibacter, Propionibacterium, Alloprevotella, Lachnoclostridium, Coprobacillus, Staphylococcus, Clostridiales, Treponema
Cardiac valve calcification: Moraxella, Firmicutes, Campylobacter, Propionibacterium, Aggregatibacter, Selenomonas, Capnocytophaga, Atopobium, Peptostreptococcus, Actinobacteria, Treponema, Propionibacterium acnes, Peptoniphilus, Coprobacillus, Streptococcus anginosus, Gemella, Lactobacillus crispatus, Clostridiales, Proteobacteria, Alloprevotella
Adolescent idiopathic scoliosis: Streptococcus pneumoniae, Selenomonas, Haemophilus influenzae, Prevotella nanceiensis, Moraxella, Streptococcus sanguinis, Lactobacillus crispatus, Peptostreptococcus, Staphylococcus aureus, Streptococcus anginosus, Psychrobacter, Comamonas, Capnocytophaga, Propionibacterium, Fusobacterium nucleatum, Gardnerella vaginalis, Streptococcus parasanguinis, Streptococcus oralis, Staphylococcus epidermidis, Propionibacterium acnes
Aerobic vaginitis: Rothia aeria, Haemophilus influenzae, Streptococcus pneumoniae, Tanerella forsythia, Staphylococcus aureus, Lactobacillus mucosae, Fretibacterium, Psychrobacter, Streptococcus sanguinis, Mucor racemosus, Enhydrobacter, Selenomonas, Lautropia mirabilis, Rothia dentocariosa, Streptococcus anginosus, Neisseria subflava, Lactobacillus crispatus, Prevotella nanceiensis, Terrisporobacter, Streptococcus oralis
