Spirochaetes: Colorectal Neoplasms, Parkinson Disease, Alzheimer Disease, Lung Neoplasms, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Ulcerative Colitis, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Sterigmatomyces elviae: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Ulcerative Colitis, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Gluconacetobacter: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Hydrogenophaga: Colorectal Neoplasms, Alzheimer Disease, Mouth Neoplasms, Parkinson Disease, Lung Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Enterorhabdus: Parkinson Disease, Colorectal Neoplasms, Ulcerative Colitis, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Crohn Disease, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Gordonibacter: Colorectal Neoplasms, Parkinson Disease, Alzheimer Disease, Mouth Neoplasms, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Aerococcaceae: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Stomach Neoplasms, Alzheimer Disease, Mouth Neoplasms, Liver Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Corynebacteriaceae: Colorectal Neoplasms, Alzheimer Disease, Lung Neoplasms, Parkinson Disease, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Ulcerative Colitis, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Leptotrichiaceae: Colorectal Neoplasms, Lung Neoplasms, Parkinson Disease, Alzheimer Disease, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Shuttleworthia: Colorectal Neoplasms, Mouth Neoplasms, Alzheimer Disease, Parkinson Disease, Breast Neoplasms, Lung Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Cortinariaceae: Parkinson Disease, Colorectal Neoplasms, Ulcerative Colitis, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Crohn Disease, Liver Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Gymnopilus: Colorectal Neoplasms, Parkinson Disease, Ulcerative Colitis, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Crohn Disease, Liver Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Hymenochaete: Parkinson Disease, Colorectal Neoplasms, Ulcerative Colitis, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Crohn Disease, Liver Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Monilinia: Colorectal Neoplasms, Parkinson Disease, Ulcerative Colitis, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Crohn Disease, Liver Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Psathyrella: Colorectal Neoplasms, Parkinson Disease, Ulcerative Colitis, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Crohn Disease, Liver Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Psathyrella artemisiae: Parkinson Disease, Colorectal Neoplasms, Ulcerative Colitis, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Crohn Disease, Liver Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Psathyrellaceae: Parkinson Disease, Colorectal Neoplasms, Ulcerative Colitis, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Crohn Disease, Liver Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Fusicatenibacter saccharivorans: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Crohn Disease, Liver Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Hungatella hathewayi: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Crohn Disease, Liver Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Anaeroplasma: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Ulcerative Colitis, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Anaeroplasmatales: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Ulcerative Colitis, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Caulobacterales: Colorectal Neoplasms, Alzheimer Disease, Parkinson Disease, Mouth Neoplasms, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Ulcerative Colitis, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Dehalobacterium: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Desulfovibrionaceae: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Mouth Neoplasms, Stomach Neoplasms, Liver Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Alteromonadales: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Mouth Neoplasms, Stomach Neoplasms, Ulcerative Colitis, Breast Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Ferrimonadaceae: Parkinson Disease, Colorectal Neoplasms, Ulcerative Colitis, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Crohn Disease, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Ferrimonas: Parkinson Disease, Colorectal Neoplasms, Ulcerative Colitis, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Crohn Disease, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Oceanospirillaceae: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Crohn Disease, Liver Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Oceanospirillales: Colorectal Neoplasms, Parkinson Disease, Alzheimer Disease, Mouth Neoplasms, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Ulcerative Colitis, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Photobacterium: Parkinson Disease, Colorectal Neoplasms, Ulcerative Colitis, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Crohn Disease, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Vibrio: Parkinson Disease, Colorectal Neoplasms, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Vibrionaceae: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Liver Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Vibrionales: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Mouth Neoplasms, Stomach Neoplasms, Ulcerative Colitis, Liver Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Xanthomonadales: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Arthrospira: Colorectal Neoplasms, Mouth Neoplasms, Parkinson Disease, Alzheimer Disease, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Lung Neoplasms, Crohn Disease, Stomach Neoplasms, Liver Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Alcaligenes faecalis: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Ulcerative Colitis, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Bacillus cereus: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Ulcerative Colitis, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Bilophila sp.: Colorectal Neoplasms, Mouth Neoplasms, Parkinson Disease, Alzheimer Disease, Breast Neoplasms, Ulcerative Colitis, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Candidatus Parcubacteria: Colorectal Neoplasms, Mouth Neoplasms, Parkinson Disease, Alzheimer Disease, Breast Neoplasms, Ulcerative Colitis, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Cyanobacteria: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Mouth Neoplasms, Stomach Neoplasms, Ulcerative Colitis, Breast Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Fusobacterium sp.: Colorectal Neoplasms, Mouth Neoplasms, Parkinson Disease, Alzheimer Disease, Breast Neoplasms, Ulcerative Colitis, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Lactobacillus delbrueckii: Colorectal Neoplasms, Mouth Neoplasms, Parkinson Disease, Alzheimer Disease, Breast Neoplasms, Ulcerative Colitis, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Planctomycetes: Colorectal Neoplasms, Mouth Neoplasms, Alzheimer Disease, Parkinson Disease, Breast Neoplasms, Lung Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Erysipelatoclostridium ramosum: Parkinson Disease, Colorectal Neoplasms, Lung Neoplasms, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
[Eubacterium] brachy: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
[Eubacterium] sulci: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Actinomyces sp. oral taxon 877: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Alloscardovia omnicolens: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Stomach Neoplasms, Alzheimer Disease, Mouth Neoplasms, Liver Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Bacteroides-like sp. oral clone AU126: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Campylobacter concisus: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Ulcerative Colitis, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Campylobacter sp. oral taxon 044: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Ulcerative Colitis, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Kingella sp. oral taxon 459: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Lachnospiraceae bacterium oral taxon 455: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Leptotrichia sp. oral taxon 212: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Leptotrichia sp. oral taxon 218: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Leptotrichia sp. oral taxon 221: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Oribacterium sp. oral taxon 108: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Prevotella pallens: Parkinson Disease, Colorectal Neoplasms, Lung Neoplasms, Mouth Neoplasms, Alzheimer Disease, Stomach Neoplasms, Ulcerative Colitis, Breast Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Prevotella scopos: Parkinson Disease, Colorectal Neoplasms, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Ulcerative Colitis, Breast Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Prevotella shahii: Parkinson Disease, Colorectal Neoplasms, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Ulcerative Colitis, Breast Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
