Lactobacillus: Hypertension, Thyroid carcinoma, Infantile eczema, Major depressive disorder, Hepatocellular cancer, Coronary artery disease, Multiple Sclerosis, Alcoholism, Inflammatory Bowel Disease, Ankylosing spondylitis, Cholestasis, Hepatitis B, Type 1 Diabetes, Non-alcoholic fatty liver disease, Alzheimer's Disease, Primary sclerosing cholangitis, Autism spectrum disorders, Pancreatic cancer, Chronic kidney disease, Primary biliary cholangitis
Veillonella sp. oral taxon 780: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Leptotrichia sp. oral clone FP036: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Enterorhabdus: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Autism, Cystic Fibrosis, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Gordonibacter: Parkinson's Disease, Type 2 Diabetes, Colorectal cancer, periodontitis, Crohn's Disease, Caries, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Aerobic vaginitis, Uveitits, Irritable Bowel Syndrome, Autism spectrum disorders, Aggressive periodontitis
Butyricicoccus pullicaecorum: Parkinson's Disease, Crohn's Disease, Colorectal cancer, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cystic Fibrosis, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Uveitits, Aerobic vaginitis, Breast cancer
Varibaculum: Parkinson's Disease, Type 2 Diabetes, Crohn's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Aerobic vaginitis
Clostridium coccoides group: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Obesity, Caries, Cystic Fibrosis, Ulcerative Colitis, periodontitis, Colorectal cancer, Psoriasis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Clostridium leptum subgroup: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Asthma, HIV infection, Autism spectrum disorders, Uveitits, Irritable Bowel Syndrome, Aerobic vaginitis, Breast cancer
Bacteroides fragilis group: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Uveitits, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Eubacterium saphenum: Colorectal cancer, Parkinson's Disease, Type 2 Diabetes, Crohn's Disease, periodontitis, Caries, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Aerobic vaginitis, Uveitits, Chronic Obstructive Pulmonary Disease
Mogibacterium timidum: periodontitis, Colorectal cancer, Caries, Parkinson's Disease, Type 2 Diabetes, Crohn's Disease, Ulcerative Colitis, Psoriasis, Obesity, Cystic Fibrosis, Schizophrenia, Cirrhosis, Asthma, HIV infection, Autism, Aerobic vaginitis, Uveitits, Irritable Bowel Syndrome, Autism spectrum disorders, Aggressive periodontitis
Treponema parvum: Colorectal cancer, Caries, periodontitis, Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Lactobacilli: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Lautropia mirabilis: Type 2 Diabetes, periodontitis, Caries, Obesity, Crohn's Disease, Colorectal cancer, Parkinson's Disease, Cystic Fibrosis, Psoriasis, HIV infection, Cirrhosis, Ulcerative Colitis, Asthma, Schizophrenia, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Autism, Oral cancer, Rheumatoid Arthritis
tannerella forsythia: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Uveitits, Cirrhosis, Autism, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Burkholderia cepacia: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Actinomyces gerencseriae: periodontitis, Colorectal cancer, Caries, Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Obesity, Schizophrenia, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Asthma, Autism, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Edentulism
Actinomyces odontolyticus: Type 2 Diabetes, periodontitis, Caries, Colorectal cancer, Crohn's Disease, Parkinson's Disease, Obesity, Cystic Fibrosis, Psoriasis, Ulcerative Colitis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Autism spectrum disorders, Oral cancer
Johnsonella: Type 2 Diabetes, Parkinson's Disease, periodontitis, Crohn's Disease, Caries, Colorectal cancer, Obesity, Psoriasis, Ulcerative Colitis, Cystic Fibrosis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer
Pseudoramibacter alactolyticus: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, periodontitis, Caries, Ulcerative Colitis, Obesity, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, Asthma, HIV infection, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer
Selenomonas sputigena: Colorectal cancer, periodontitis, Caries, Parkinson's Disease, Type 2 Diabetes, Crohn's Disease, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Asthma, Autism, HIV infection, Aerobic vaginitis, Uveitits, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease
Mycoplasma faucium: periodontitis, Caries, Colorectal cancer, Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, Obesity, Psoriasis, Ulcerative Colitis, Cystic Fibrosis, Schizophrenia, Cirrhosis, Asthma, HIV infection, Autism, Aerobic vaginitis, Irritable Bowel Syndrome, Uveitits, Aggressive periodontitis, Chronic Obstructive Pulmonary Disease
Eubacterium minutum: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Treponema lecithinolyticum: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Eubacterium brachy: Type 2 Diabetes, Colorectal cancer, Parkinson's Disease, Crohn's Disease, periodontitis, Caries, Ulcerative Colitis, Obesity, Psoriasis, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Aerobic vaginitis, Uveitits, Chronic Obstructive Pulmonary Disease
Dehalobacterium: Colorectal cancer, Parkinson's Disease, periodontitis, Caries, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, Uveitits, HIV infection, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Aggressive periodontitis
Moraxellaceae: Type 2 Diabetes, Obesity, Cystic Fibrosis, Crohn's Disease, Parkinson's Disease, HIV infection, Cirrhosis, Psoriasis, Caries, Ulcerative Colitis, Colorectal cancer, periodontitis, Asthma, Irritable Bowel Syndrome, Schizophrenia, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Autism, Oral cancer, Aggressive periodontitis
Yersinia: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cystic Fibrosis, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Uveitits, Breast cancer, Aerobic vaginitis
Aminobacterium: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Uveitits, Cirrhosis, Autism, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Acidobacteriaceae: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Cystic Fibrosis, Autism, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Pseudonocardiaceae: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Cystic Fibrosis, Autism, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Rhizobium: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, Caries, periodontitis, Colorectal cancer, Obesity, Ulcerative Colitis, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Rheumatoid Arthritis
Enterobacteriaceae bacterium: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Asthma, Uveitits, HIV infection, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Salmonella enterica: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Caries, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, Uveitits, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Bacillus coagulans: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Uveitits, Cirrhosis, Cystic Fibrosis, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Bacteroides pectinophilus: Parkinson's Disease, Crohn's Disease, Colorectal cancer, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Uveitits, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Prevotella bryantii: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Asthma, Uveitits, HIV infection, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Lactobacillus coleohominis: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, Uveitits, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Streptococcus gallolyticus: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Aerobic vaginitis, Autism, Cystic Fibrosis, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Lactobacillus brevis: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Autism spectrum disorders, Azoospermia
Methylotenera mobilis: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Azoospermia, Irritable Bowel Syndrome
Paracoccus aminovorans: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Treponema amylovorum: periodontitis, Colorectal cancer, Caries, Parkinson's Disease, Type 2 Diabetes, Crohn's Disease, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Asthma, Autism, HIV infection, Aerobic vaginitis, Uveitits, Irritable Bowel Syndrome, Autism spectrum disorders, Aggressive periodontitis
Staphylococcus equorum: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Cystic Fibrosis, Aerobic vaginitis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Sphingomonas changbaiensis: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Clostridium difficile associated disease, Azoospermia
Methylobacterium adhaesivum: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Anoxybacillus kestanbolensis: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Pseudoxanthomonas mexicana: Colorectal cancer, Caries, periodontitis, Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Asthma, Autism, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Breast cancer
Sphingobium xenophagum: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Rathayibacter caricis: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Clostridium difficile associated disease, Azoospermia
Janthinobacterium lividum: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Sphingomonas yabuuchiae: Colorectal cancer, Parkinson's Disease, periodontitis, Caries, Type 2 Diabetes, Crohn's Disease, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Asthma, Autism, HIV infection, Aerobic vaginitis, Uveitits, Irritable Bowel Syndrome, Autism spectrum disorders, Aggressive periodontitis
Bacillus flexus: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Cystic Fibrosis, Autism, Cirrhosis, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Jeotgalicoccus psychrophilus: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Acidobacteria: Type 2 Diabetes, periodontitis, Parkinson's Disease, Caries, Colorectal cancer, Crohn's Disease, Obesity, Psoriasis, Ulcerative Colitis, Cystic Fibrosis, Schizophrenia, Cirrhosis, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Aggressive periodontitis, Chronic Obstructive Pulmonary Disease, Oral cancer
Neisseriaceae: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Obesity, Caries, Colorectal cancer, periodontitis, Cystic Fibrosis, Psoriasis, Ulcerative Colitis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Autism, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Autism spectrum disorders, Rheumatoid Arthritis, Aggressive periodontitis
Spirochaetaceae: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Uveitits, Aerobic vaginitis, Breast cancer
Anaeroglobus geminatus: Parkinson's Disease, Type 2 Diabetes, Crohn's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Aerobic vaginitis, Chronic Obstructive Pulmonary Disease, Oral cancer
Enterobacter asburiae: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Megasphaera micronuciformis: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Caries, periodontitis, Colorectal cancer, Obesity, Ulcerative Colitis, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Aggressive periodontitis
Paraprevotella clara: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Caries, periodontitis, Colorectal cancer, Obesity, Cystic Fibrosis, Ulcerative Colitis, Psoriasis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Aggressive periodontitis
Bosea: Parkinson's Disease, Type 2 Diabetes, Crohn's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Lactobacillus bulgaricus: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Lactobacillus rhamnosus: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Uveitits, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Streptomyces: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Uveitits, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Sporobacter: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Obesity, Caries, Colorectal cancer, periodontitis, Cystic Fibrosis, Ulcerative Colitis, Psoriasis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Bradyrhizobiaceae: Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Colorectal cancer, Caries, Ulcerative Colitis, periodontitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Actinomyces naeslundii: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Caries, periodontitis, Obesity, Ulcerative Colitis, Psoriasis, Cystic Fibrosis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Aggressive periodontitis
Scardovia wiggsiae: Parkinson's Disease, Crohn's Disease, Colorectal cancer, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Uveitits, Aerobic vaginitis, Breast cancer
Delftia: Type 2 Diabetes, Obesity, Cystic Fibrosis, periodontitis, Caries, Parkinson's Disease, Crohn's Disease, HIV infection, Colorectal cancer, Psoriasis, Aggressive periodontitis, Cirrhosis, Chronic Obstructive Pulmonary Disease, Irritable Bowel Syndrome, Asthma, Ulcerative Colitis, Schizophrenia, Oral cancer, Smoking, Rheumatoid Arthritis
Mycoplana: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, Caries, periodontitis, Colorectal cancer, Obesity, Cystic Fibrosis, Psoriasis, Ulcerative Colitis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Autism spectrum disorders, Aggressive periodontitis, Oral cancer
Clostridium xylanovorans: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cystic Fibrosis, Cirrhosis, Asthma, Uveitits, HIV infection, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Peptoniphilus gorbachii: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Autism, Cystic Fibrosis, Cirrhosis, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Acetanaerobacterium elongatum: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Autism, Cystic Fibrosis, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Bifidobacterium animalis: Parkinson's Disease, Crohn's Disease, Colorectal cancer, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Uveitits, Aerobic vaginitis, Irritable Bowel Syndrome, Breast cancer
Stoquefichus massiliensis: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Uveitits, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Blautia glucerasea: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Uveitits, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
