Collinsella aerofaciens: Irritable bowel syndrome(IBS), Cystic fibrosis, Type 1 diabetes, Bacterial Vaginosis, Colon cancer, Liver cirrhosis, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, New-onset untreated rheumatoid arthrits, Skin and mucosal infections, COPD, Inflammatory bowel disease(IBD), Whipple's disease
Syntrophobacteraceae: Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Bacterial Vaginosis, Colon cancer, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, COPD, Inflammatory bowel disease(IBD), Skin and mucosal infections, New-onset untreated rheumatoid arthrits, Whipple's disease
Thiotrichaceae: Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Bacterial Vaginosis, Colon cancer, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, COPD, Inflammatory bowel disease(IBD), Skin and mucosal infections, New-onset untreated rheumatoid arthrits, Whipple's disease
Xanthomonas: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Cystic fibrosis, Type 1 diabetes, Type 2 diabetes, COPD, Atopic dermatitis, Liver cirrhosis, Obesity, Colon cancer, Skin and mucosal infections, Necrotizing Enterocolitis, Asthma, Crohn's disease(CD), Ulcerative colitis, Guttate psoriasis, New-onset untreated rheumatoid arthrits, Psoriasis, Clostridium difficile infection(CDI), Rheumatoid arthrits
Fusobacterium nucleatum: Type 1 diabetes, Necrotizing Enterocolitis, Crohn's disease(CD), Psoriasis, Asthma, Type 2 diabetes, COPD, Clostridium difficile infection(CDI), Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Bacterial Vaginosis, Obesity, Ulcerative colitis, Inflammatory bowel disease(IBD), Liver cirrhosis, Rheumatoid arthrits, Systemic inflammatory response syndrome, Skin and mucosal infections, Eczema
Acetonema: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Actinobacillus: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Aggregatibacter: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Akkermansia: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Alistipes: Liver cirrhosis, Type 1 diabetes, Clostridium difficile infection(CDI), Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Irritable bowel syndrome(IBS), Bacterial Vaginosis, COPD, Periodontal, Psoriasis, Asthma, Colorectal carcinoma, Ileal Crohn's disease(CD), Inflammatory bowel disease(IBD), Obesity, Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Constipation Irritable bowel syndrome(IBS)
Anaerofilum: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Anaerostipes: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Anaerotruncus: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacillus: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium 08.96.4: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium ASF500: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium B4C2-5: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium Ba2: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium C15: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium G100VIII: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium ic1214: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium ic1258: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium ic1292: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium ic1296: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium ic1311: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium ic1379: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium ic1391: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium MB7-1: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium mpn-isolate group 19: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium mpn-isolate group 22: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium mpn-isolate group 24: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium mpn-isolate group 27: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium mpn-isolate group 5: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium 'New Zealand B': Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium str. 31285: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium YE62: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacterium YE64: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacteroidaceae bacterium Smarlab 3301643: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bovine rumen bacterium JPR13: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Brenneria: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Burkholderiales bacterium Smarlab 3302047: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium ART55/1: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium L1-810: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium L1-952: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium L2-50: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium M104/1: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium M21/2: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium M50/1: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium P607: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium PH05YB02: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium Ph07AY02: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium PH07AY3: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium PH07AY5: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium PH07BY04: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium SL6/1/1: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium SM4/1: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
